Week 1
Traditional Ranking,Record,Points,Breakdown,Total
Vernon,8.0,10.0,10.0,28.0
Matt,8.0,9.0,9.0,26.0
Peter,8.0,8.0,8.0,24.0
Joey,8.0,6.0,6.0,20.0
Lanny,3.0,7.0,7.0,17.0
Ben,8.0,4.0,4.0,16.0
Tyler,3.0,5.0,5.0,13.0
Jason,3.0,3.0,3.0,9.0
Ted,3.0,2.0,2.0,7.0
John,3.0,1.0,1.0,5.0

Week 2
Traditional Ranking,Record,Points,Breakdown,Total
Peter,8.5,8.0,9.5,26.0
Joey,8.5,10.0,7.5,26.0
Tyler,5.5,9.0,9.5,24.0
Matt,8.5,7.0,7.5,23.0
Ben,8.5,6.0,6.0,20.5
Vernon,5.5,5.0,5.0,15.5
Lanny,2.5,4.0,4.0,10.5
John,2.5,3.0,2.5,8.0
Jason,2.5,2.0,2.5,7.0
Ted,2.5,1.0,1.0,4.5

Week 3
Traditional Ranking,Record,Points,Breakdown,Total
Matt,7.5,10.0,10.0,27.5
Joey,9.5,9.0,8.5,27.0
Peter,9.5,8.0,8.5,26.0
Ben,7.5,5.0,6.5,19.0
Jason,4.0,7.0,4.5,15.5
Lanny,4.0,4.0,6.5,14.5
Ted,4.0,6.0,3.0,13.0
Tyler,4.0,1.0,4.5,9.5
Vernon,4.0,2.0,2.0,8.0
John,1.0,3.0,1.0,5.0

Week 4
Traditional Ranking,Record,Points,Breakdown,Total
Joey,10.0,9.0,9.0,28.0
Matt,5.5,10.0,10.0,25.5
Ben,8.5,8.0,8.0,24.5
Peter,8.5,7.0,7.0,22.5
Jason,5.5,6.0,6.0,17.5
Lanny,5.5,4.0,4.5,14.0
Ted,5.5,5.0,3.0,13.5
Tyler,2.5,3.0,4.5,10.0
Vernon,2.5,1.0,2.0,5.5
John,1.0,2.0,1.0,4.0

Week 5
Traditional Ranking,Record,Points,Breakdown,Total
Matt,7.0,10.0,10.0,27.0
Peter,9.5,7.0,8.5,25.0
Ben,7.0,8.0,8.5,23.5
Ted,7.0,9.0,6.0,22.0
Joey,9.5,5.0,6.0,20.5
Jason,4.0,6.0,4.0,14.0
Tyler,4.0,4.0,6.0,14.0
Lanny,4.0,3.0,3.0,10.0
John,1.5,2.0,2.0,5.5
Vernon,1.5,1.0,1.0,3.5

Week 6
Traditional Ranking,Record,Points,Breakdown,Total
Peter,9.5,8.0,9.5,27.0
Ted,8.0,10.0,6.5,24.5
Matt,5.5,9.0,9.5,24.0
Jason,5.5,7.0,8.0,20.5
Ben,5.5,6.0,6.5,18.0
Joey,9.5,4.0,4.0,17.5
Tyler,3.0,5.0,5.0,13.0
Lanny,5.5,3.0,3.0,11.5
Vernon,1.5,1.0,2.0,4.5
John,1.5,2.0,1.0,4.5

Week 7
Traditional Ranking,Record,Points,Breakdown,Total
Peter,10.0,8.0,9.0,27.0
Matt,6.0,10.0,10.0,26.0
Ted,6.0,9.0,8.0,23.0
Ben,6.0,7.0,7.0,20.0
Jason,6.0,5.0,6.0,17.0
Lanny,6.0,6.0,5.0,17.0
Joey,9.0,3.0,3.0,15.0
Tyler,3.0,4.0,4.0,11.0
Vernon,1.5,2.0,2.0,5.5
John,1.5,1.0,1.0,3.5

Week 8
Traditional Ranking,Record,Points,Breakdown,Total
Peter,10.0,9.0,9.0,28.0
Matt,5.0,10.0,10.0,25.0
Ben,8.0,7.0,8.0,23.0
Lanny,8.0,6.0,7.0,21.0
Ted,5.0,8.0,6.0,19.0
Joey,8.0,4.0,3.0,15.0
Tyler,3.0,5.0,5.0,13.0
Jason,5.0,2.0,4.0,11.0
Vernon,2.0,3.0,2.0,7.0
John,1.0,1.0,1.0,3.0

Week 9
Traditional Ranking,Record,Points,Breakdown,Total
Matt,6.0,10.0,10.0,26.0
Ben,8.5,8.0,9.0,25.5
Peter,10.0,7.0,6.0,23.0
Ted,6.0,9.0,6.0,21.0
Lanny,6.0,6.0,8.0,20.0
Tyler,3.5,5.0,6.0,14.5
Joey,8.5,3.0,3.0,14.5
Jason,3.5,2.0,4.0,9.5
Vernon,2.0,4.0,2.0,8.0
John,1.0,1.0,1.0,3.0

Week 10
Traditional Ranking,Record,Points,Breakdown,Total
Peter,10.0,9.0,8.0,27.0
Ted,7.0,10.0,9.0,26.0
Matt,7.0,8.0,10.0,25.0
Ben,7.0,7.0,6.5,20.5
Lanny,5.0,6.0,5.0,16.0
Joey,9.0,3.0,3.5,15.5
Tyler,3.5,5.0,6.5,15.0
Jason,3.5,2.0,3.5,9.0
Vernon,2.0,4.0,2.0,8.0
John,1.0,1.0,1.0,3.0

Week 11
Traditional Ranking,Record,Points,Breakdown,Total
Matt,8.5,9.0,10.0,27.5
Peter,10.0,8.0,8.0,26.0
Ted,6.0,10.0,9.0,25.0
Lanny,6.0,7.0,7.0,20.0
Ben,6.0,6.0,5.0,17.0
Tyler,3.5,4.0,6.0,13.5
Joey,8.5,3.0,2.0,13.5
Vernon,2.0,5.0,4.0,11.0
Jason,3.5,2.0,3.0,8.5
John,1.0,1.0,1.0,3.0

Week 12
Traditional Ranking,Record,Points,Breakdown,Total
Ted,7.5,10.0,10.0,27.5
Matt,9.5,9.0,9.0,27.5
Peter,9.5,8.0,8.0,25.5
Lanny,4.5,7.0,6.0,17.5
Tyler,4.5,5.0,7.0,16.5
Ben,4.5,4.0,5.0,13.5
Jason,4.5,3.0,4.0,11.5
Joey,7.5,2.0,2.0,11.5
Vernon,2.0,6.0,3.0,11.0
John,1.0,1.0,1.0,3.0

Week 13
Traditional Ranking,Record,Points,Breakdown,Total
Ted,8.0,10.0,10.0,28.0
Matt,8.0,9.0,9.0,26.0
Peter,10.0,8.0,8.0,26.0
Lanny,6.0,7.0,7.0,20.0
Joey,8.0,3.0,3.0,14.0
Jason,4.0,4.0,5.0,13.0
Ben,4.0,5.0,4.0,13.0
Tyler,4.0,2.0,6.0,12.0
Vernon,2.0,6.0,2.0,10.0
John,1.0,1.0,1.0,3.0

Week 14
Traditional Ranking,Record,Points,Breakdown,Total
Peter,9.5,9.0,9.0,27.5
Ted,7.0,10.0,10.0,27.0
Lanny,7.0,7.0,7.0,21.0
Matt,7.0,5.0,8.0,20.0
Jason,4.5,6.0,6.0,16.5
Vernon,2.5,8.0,4.0,14.5
Joey,9.5,2.0,2.5,14.0
Tyler,4.5,3.0,5.0,12.5
Ben,2.5,4.0,2.5,9.0
John,1.0,1.0,1.0,3.0

